Time,Temperature_Room_Sensor,Temperature_Exterior_Sensor,Lighting_Room_Sensor,state_window,state_bed,real_action
11:07,19,16,73,1.32,1.3,3
17:30,17,16,55,1.16,1.37,5
21:58,18,17,33,0.51,2.48,7
16:42,19,22,70,0.68,0.9,0
21:52,29,16,40,1.46,2.86,5
10:31,19,15,30,1.88,0.84,6
21:59,19,15,38,0.93,0.08,7
14:15,18,24,88,0.92,0.69,0
13:57,20,16,45,1.44,2.22,4
07:16,17,17,45,0.01,1.08,5
20:32,26,17,49,0.93,1.45,5
14:27,20,17,39,1.35,1.91,6
18:01,20,16,22,0.74,2.01,7
17:03,18,16,30,1.17,0.42,1
17:29,19,16,46,1.09,0.66,2
11:55,18,15,79,1.3,1.34,3
19:24,18,15,85,1.58,2.85,4
18:01,18,15,77,0.93,0.44,2
11:34,18,16,60,1.63,2.49,3
16:48,19,24,63,0.32,1.67,0
17:36,19,15,36,1.03,0.43,1
11:57,17,17,69,0.69,0.19,5
08:47,23,15,63,1.82,2.54,5
11:39,19,16,38,1.08,2.47,6
21:22,18,15,31,0.5,1.64,7
12:39,18,23,82,0.44,2.86,0
19:12,20,17,61,1.54,2.98,4
21:28,15,16,51,1.05,1.59,5
17:23,19,15,41,0.33,0.53,2
11:40,19,15,64,0.55,0.53,3
12:59,18,17,57,1.69,2.22,4
21:42,29,17,62,1.63,0.19,5
16:56,18,17,36,0.72,2.03,6
20:19,18,15,27,0.26,2.79,7
15:50,20,26,60,0.29,0.33,0
18:02,18,17,36,1.45,2.72,1
20:34,17,17,76,1.72,0.46,5
20:50,26,17,57,1.78,1.47,5
20:23,20,15,33,0.52,0.8,6
15:49,20,15,29,0.84,2.67,7
08:09,19,25,96,0.28,0.21,0
18:39,18,16,32,1.74,1.28,1
18:49,19,17,88,0.92,0.6,2
11:09,20,15,76,0.66,2.3,3
11:11,18,17,62,0.87,2.36,4
20:07,14,17,81,0.43,0.37,5
16:43,18,22,88,0.23,0.42,0
18:43,18,17,39,1.06,1.52,1
18:33,18,15,63,0.21,0.37,2
11:21,18,15,64,0.02,0.29,3
17:17,20,17,79,0.34,2.14,4
21:55,15,15,59,1.58,2.83,5
14:33,25,17,69,1.87,2.52,5
10:32,18,15,31,0.07,0.92,6
15:13,20,17,20,0.1,1.54,7
12:54,20,21,98,0.72,1.88,0
17:57,20,17,38,1.81,0.09,1
17:09,19,17,78,0.96,0.46,2
11:31,20,15,78,0.81,1.21,3
20:02,18,17,53,1.29,2.63,4
21:47,17,16,73,1.04,1.83,5
14:54,25,17,45,1.18,1.36,5
14:13,20,17,33,0.17,0.78,6
19:21,20,17,26,0.03,2.9,7
15:28,18,26,78,0.26,0.27,0
17:12,19,17,38,1.53,0.99,1
07:20,28,16,45,0.98,1.45,5
19:03,19,15,30,0.98,2.94,6
20:11,18,16,37,0.36,2.67,7
18:41,20,17,43,0.02,0.46,2
11:40,18,15,52,1.13,0.8,3
18:05,18,15,81,1.54,2.39,4
13:32,16,16,46,1.79,0.92,5
09:03,21,15,53,1.12,2.63,5
15:13,20,17,34,0.36,0.81,6
17:21,19,15,35,0.95,1.94,7
08:58,18,26,96,0.24,0.5,0
11:40,20,15,77,0.39,0.62,3
09:09,20,15,53,0.46,2.84,4
15:02,15,17,65,0.97,2.96,5
10:22,21,17,57,0.29,2.23,5
11:59,20,17,30,0.69,0.37,6
14:19,18,15,23,0.74,2.63,7
09:06,20,25,88,0.16,2.78,0
18:15,20,16,31,1.32,0.91,1
18:10,20,16,30,1.06,0.63,1
17:38,18,15,47,1.83,0.48,2
17:28,19,15,51,0.14,0.04,2
11:23,19,17,86,1.58,0.91,3
20:08,18,15,71,1.77,2.51,4
14:00,15,15,71,0.92,1.15,5
21:52,28,15,75,0.8,0.6,5
10:34,19,16,37,0.55,1.61,6
16:38,19,17,36,0.54,2.97,7
16:41,20,25,84,0.42,2.42,0
18:48,20,15,31,1.13,0.6,1
18:32,20,15,58,1.57,0.46,2
11:14,20,16,88,1.05,0.36,3
07:07,19,16,76,1.86,2.85,4
20:21,15,17,81,1.95,1.78,5
10:31,22,15,43,1.83,2.03,5
20:58,20,17,38,1.21,0.49,6
21:59,19,17,31,0.15,1.35,7
12:53,20,23,74,0.15,0.25,0
17:47,20,17,38,1.95,1.89,1
18:00,19,16,62,1.25,0.86,2
11:41,20,17,55,0.5,0.91,3
10:37,18,15,52,0.85,2.81,4
10:22,15,16,73,1.65,0.91,5
18:36,26,17,69,0.1,0.59,5
09:28,19,16,30,0.0,0.55,6
18:42,18,17,24,0.67,2.6,7
08:18,20,26,98,0.8,2.55,0
18:00,18,15,34,1.58,1.44,1
18:13,19,17,85,0.34,0.2,2
07:17,27,15,40,1.71,1.11,5
16:29,18,17,31,1.79,2.71,6
21:04,20,17,30,0.94,2.12,7
10:13,20,25,81,0.48,2.39,0
18:11,18,15,39,1.98,1.62,1
18:24,18,16,85,1.55,0.52,2
11:10,19,17,84,0.8,0.62,3
16:08,19,16,84,0.47,2.75,4
20:21,16,15,43,0.18,0.38,5
11:35,20,16,70,1.19,1.3,3
11:53,19,15,85,1.18,2.65,4
19:45,14,15,47,0.42,0.76,5
13:52,23,17,77,0.65,0.82,5
08:24,20,15,37,1.2,2.29,6
15:25,20,16,38,0.96,0.35,7
07:52,20,25,75,0.72,1.56,0
18:56,19,17,35,1.7,0.54,1
17:22,19,16,83,0.71,0.87,2
11:09,20,17,73,0.11,0.61,3
11:47,19,17,60,0.29,2.77,4
07:51,14,15,80,0.35,0.03,5
14:06,27,15,57,0.64,2.93,5
17:45,18,17,79,1.97,0.08,2
11:51,19,16,77,0.76,0.61,3
14:30,20,16,85,1.36,2.39,4
17:52,15,17,77,0.05,2.31,5
09:46,26,15,74,1.49,0.09,5
09:51,18,17,39,1.67,2.83,6
21:07,20,17,27,0.69,0.71,7
10:57,20,24,71,0.17,1.66,0
17:30,19,15,33,1.23,0.39,1
17:29,18,17,37,0.7,0.49,6
14:43,18,17,23,0.34,1.29,7
14:51,20,26,100,0.8,1.04,0
18:42,18,15,32,1.76,0.1,1
17:48,18,16,72,0.33,0.6,2
11:54,19,17,70,0.82,2.16,3
07:59,20,17,74,0.42,2.26,4
08:32,15,15,90,1.99,1.28,5
07:28,23,17,83,1.98,2.44,5
21:03,20,16,35,0.74,1.64,6
20:01,20,16,27,0.61,0.29,7
07:48,18,26,40,0.17,1.3,0
18:31,20,16,31,1.79,0.68,1
18:24,18,15,41,0.91,0.63,2
11:24,20,15,69,1.71,0.99,3
16:04,19,15,44,0.8,2.38,4
18:46,15,15,61,0.42,2.69,5
14:51,29,15,72,0.47,0.65,5
20:57,20,16,32,0.83,0.57,6
19:21,18,16,26,0.95,2.47,7
16:10,18,24,97,0.29,2.85,0
17:28,18,17,36,1.86,0.5,1
18:26,20,15,87,1.69,0.72,2
11:52,19,17,84,1.58,2.71,3
11:09,18,15,49,0.45,0.5,3
12:22,18,16,40,1.95,2.56,4
13:18,16,15,85,0.94,0.28,5
15:31,28,16,90,1.2,1.79,5
10:34,20,16,33,1.32,0.67,6
14:54,20,16,24,0.14,0.56,7
08:01,18,24,40,0.92,1.14,0
18:08,19,17,32,1.18,2.68,1
17:43,20,17,72,0.37,0.78,2
11:26,19,15,53,1.46,0.46,3
12:44,20,15,72,1.8,2.4,4
13:14,15,17,53,0.67,0.08,5
08:44,27,16,87,1.92,1.53,5
07:08,20,15,83,0.7,2.52,4
08:50,15,17,82,0.25,1.2,5
10:24,24,17,54,0.23,1.13,5
12:54,20,17,36,0.84,2.78,6
16:44,20,16,34,0.9,2.28,7
07:10,20,25,89,0.38,0.09,0
18:18,18,16,40,1.54,2.18,1
17:13,18,15,82,0.69,0.2,2
18:32,18,16,32,1.5,1.56,6
15:35,20,15,35,0.09,0.06,7
12:41,20,25,56,0.6,2.91,0
18:51,18,16,33,1.49,2.84,1
17:59,21,15,64,0.25,1.55,5
16:10,18,15,39,0.84,0.07,6
14:40,19,17,37,0.12,1.96,7
18:04,20,17,90,0.96,0.99,2
11:01,20,15,45,1.76,0.52,3
17:39,18,16,40,0.37,2.59,4
11:33,16,17,85,0.46,1.84,5
08:10,18,23,47,0.05,1.03,0
17:38,20,16,34,1.0,2.09,1
16:50,20,16,73,1.04,2.86,4
12:50,14,17,57,1.06,2.8,5
16:06,22,15,74,1.1,1.61,5
17:25,18,17,32,0.29,2.41,6
18:08,19,15,48,1.77,0.51,2
11:47,20,15,53,0.97,2.94,3
17:37,19,16,35,0.05,2.66,7
16:08,19,24,66,0.54,1.89,0
18:52,20,17,34,1.62,1.1,1
18:36,20,16,55,1.14,0.52,2
11:28,18,16,45,0.25,0.35,3
12:32,18,17,59,0.95,2.69,4
09:43,17,17,40,1.47,0.86,5
11:09,24,16,63,0.7,1.84,5
15:39,18,17,33,0.0,2.61,6
21:31,19,17,28,0.5,2.19,7
15:05,19,25,47,0.27,2.52,0
18:51,19,17,39,1.88,2.87,1
18:27,20,15,71,0.42,0.11,2
11:14,19,16,43,1.83,0.3,3
21:07,20,16,41,0.53,2.52,4
20:30,15,17,66,1.4,0.94,5
07:36,21,15,40,0.02,1.43,5
17:03,18,17,30,0.63,0.97,6
18:34,19,15,28,0.29,2.37,7
16:41,18,21,51,0.98,0.18,0
18:46,19,15,35,1.28,2.31,1
17:29,19,17,85,1.51,0.42,2
11:19,18,15,75,0.26,1.9,3
15:29,20,17,47,1.24,2.86,4
08:45,16,15,76,1.06,1.22,5
07:50,25,17,58,0.3,2.63,5
16:42,18,17,30,0.36,2.24,6
15:50,18,17,21,0.13,2.03,7
10:40,18,23,43,0.03,0.27,0
18:47,18,16,38,1.64,0.75,1
17:44,18,17,60,0.6,0.31,2
11:04,18,16,42,0.04,0.82,3
21:39,19,16,52,0.66,2.83,4
13:49,15,16,71,1.93,0.8,5
12:31,25,16,43,1.05,1.8,5
11:14,20,15,33,0.55,2.62,6
20:41,20,16,34,0.16,0.87,7
15:01,18,24,72,0.27,0.11,0
17:55,18,15,40,1.83,1.09,1
18:58,19,17,66,0.87,0.86,2
11:51,20,15,63,0.53,1.57,3
17:13,20,17,41,0.72,2.18,4
17:10,16,17,70,1.83,1.47,5
11:55,20,22,79,0.66,2.32,0
17:04,18,17,33,1.95,0.37,1
18:09,19,16,65,1.63,0.25,2
11:34,19,15,40,0.58,1.62,3
11:22,19,16,78,1.15,2.48,4
21:24,14,16,49,0.74,1.6,5
18:32,26,17,49,1.9,2.86,5
19:50,19,17,33,1.35,2.32,6
20:53,18,15,30,0.86,0.91,7
16:20,18,24,45,0.55,1.83,0
18:45,18,15,32,1.86,1.56,1
19:33,22,16,72,1.85,0.9,5
09:31,20,17,35,1.08,1.53,6
18:49,20,17,23,0.67,2.83,7
16:09,18,24,86,0.48,2.98,0
18:18,19,15,35,1.12,1.17,1
18:18,20,15,65,0.09,0.39,2
11:01,18,17,55,0.4,0.06,3
15:35,20,17,73,0.24,2.72,4
11:12,17,15,54,1.12,0.69,5
17:48,26,17,59,1.07,1.98,5
16:50,20,16,37,1.18,1.38,6
17:23,18,16,47,0.61,0.22,2
11:32,20,15,71,1.72,0.73,3
20:04,19,15,80,1.36,2.21,4
20:03,14,16,65,0.91,2.02,5
17:31,18,17,35,0.97,2.08,7
13:17,20,25,91,0.14,1.52,0
18:10,19,17,40,1.34,2.35,1
17:01,19,16,85,1.45,0.69,2
11:04,18,15,81,1.12,1.84,3
11:51,20,15,57,0.69,2.82,4
18:28,16,15,90,0.9,2.47,5
17:27,28,15,40,1.0,2.82,5
13:29,18,16,32,1.56,1.72,6
17:10,20,16,33,0.09,0.1,7
15:19,20,21,53,0.56,2.04,0
17:47,18,17,38,1.06,2.02,1
17:49,20,16,69,0.46,0.67,2
11:04,18,15,75,1.11,1.15,3
09:28,18,15,72,0.05,2.49,4
08:26,14,16,62,1.04,0.3,5
08:15,21,17,68,1.7,0.98,5
13:37,20,15,32,0.02,0.85,6
14:26,20,17,35,0.96,2.8,7
07:23,18,21,45,0.31,1.12,0
17:00,20,16,40,1.43,0.59,1
18:55,19,17,54,0.89,0.93,2
11:18,19,17,57,1.44,0.84,3
07:51,20,16,56,0.48,2.35,4
15:13,17,16,88,0.95,2.44,5
08:15,23,16,47,0.26,2.4,5
16:11,18,16,38,1.09,1.7,6
18:32,20,17,38,0.95,0.71,7
15:36,19,26,44,0.87,0.54,0
18:50,19,15,33,1.93,1.22,1
10:16,23,16,77,1.63,0.64,5
14:37,18,15,39,0.26,2.37,6
21:05,18,16,37,0.71,1.68,7
18:04,20,16,46,1.1,0.09,2
11:00,18,17,87,1.2,2.59,3
13:41,19,16,61,1.98,2.26,4
15:02,16,17,52,1.0,2.27,5
07:36,21,15,80,1.55,2.39,5
09:43,20,16,32,1.16,0.7,6
16:01,18,15,20,0.93,2.68,7
10:00,18,24,80,0.64,1.04,0
18:15,18,15,38,1.13,1.5,1
18:51,20,17,62,0.93,0.45,2
11:35,19,17,46,1.06,0.62,3
17:24,19,17,84,0.71,2.38,4
18:59,16,17,50,0.94,0.46,5
14:34,22,15,78,0.13,2.57,5
15:09,19,17,32,1.34,2.59,6
18:32,20,16,21,0.3,1.4,7
09:29,19,25,76,0.88,1.51,0
18:16,20,17,37,1.54,2.17,1
18:19,18,15,53,1.47,0.06,2
11:45,20,16,84,1.92,0.37,3
18:10,18,15,90,0.96,2.61,4
11:16,16,15,57,1.29,1.68,5
19:55,26,17,49,0.14,0.45,5
08:28,18,16,37,0.35,0.36,6
19:31,19,16,26,0.35,0.48,7
10:09,18,24,46,0.51,1.48,0
18:54,20,15,32,1.81,1.58,1
17:35,18,17,64,1.49,0.26,2
11:36,19,15,86,0.65,1.98,3
20:13,19,17,67,1.66,2.39,4
21:54,14,16,84,1.49,0.18,5
16:46,23,16,50,1.38,0.59,5
13:37,18,17,30,1.02,1.07,6
15:13,19,17,37,0.26,1.03,7
16:48,19,21,65,0.85,2.79,0
18:24,20,17,31,1.6,3.0,1
17:45,20,15,54,1.81,0.96,2
11:17,19,15,41,0.24,2.56,3
16:50,19,16,79,1.52,2.25,4
12:48,14,15,68,0.88,1.41,5
18:49,29,17,59,0.0,1.87,5
07:00,19,16,38,1.68,2.32,6
21:10,18,16,34,0.83,0.65,7
07:47,19,23,73,0.95,1.92,0
18:23,18,17,30,1.05,2.66,1
17:33,20,15,76,1.15,0.4,2
11:03,19,17,62,0.06,0.98,3
21:51,18,16,65,0.52,2.42,4
19:32,17,17,74,0.73,0.08,5
18:00,27,16,52,0.68,0.5,5
13:11,18,15,30,0.08,2.57,6
16:23,18,16,39,0.93,2.09,7
14:46,20,21,40,0.24,0.95,0
17:30,19,15,53,1.66,0.51,2
11:23,18,17,68,0.55,0.49,3
19:01,20,17,45,0.18,2.77,4
21:10,15,16,85,0.31,0.79,5
12:47,22,17,86,0.54,2.21,5
11:27,18,17,30,0.73,1.47,6
18:58,20,17,54,0.3,0.24,2
11:16,20,16,50,1.35,0.59,3
10:58,19,15,86,1.82,2.72,4
11:13,15,15,75,0.3,1.48,5
18:08,20,17,34,1.31,0.42,1
08:24,23,16,71,0.29,1.86,5
10:26,18,17,32,0.27,1.94,6
21:45,20,15,38,0.12,1.92,7
13:24,18,25,69,0.36,2.18,0
18:17,19,16,37,1.21,1.98,1
18:14,19,17,69,0.7,0.55,2
11:52,29,15,41,0.82,0.84,5
12:13,18,15,39,1.47,1.22,6
19:43,19,17,30,0.05,2.21,7
11:32,19,17,71,1.35,1.68,3
08:54,18,17,48,1.48,2.81,4
11:48,16,16,40,1.32,1.75,5
07:27,18,21,95,0.09,2.65,0
17:03,18,15,31,1.25,1.17,1
17:25,19,16,60,1.26,0.69,2
11:39,19,17,89,1.35,1.08,3
21:52,19,15,27,0.92,0.89,7
08:55,18,22,69,0.85,0.85,0
17:05,19,17,35,1.91,2.42,1
11:35,18,17,54,1.96,2.15,4
13:15,16,15,73,0.77,1.02,5
10:19,24,17,66,0.99,2.35,5
18:28,19,15,34,0.47,0.66,6
16:00,19,16,30,0.22,2.71,7
14:16,19,26,72,0.66,1.83,0
18:51,19,17,33,1.38,2.02,1
18:11,19,15,64,0.07,0.31,2
11:05,18,17,76,1.44,1.72,3
19:43,19,16,65,1.27,2.73,4
16:26,16,15,69,1.01,0.52,5
09:06,22,15,85,0.85,1.05,5
10:23,19,16,34,0.52,2.41,6
16:46,20,16,29,0.16,1.89,7
12:20,18,23,74,0.01,0.44,0
17:12,19,15,35,1.52,0.93,1
18:53,20,16,58,1.55,0.26,2
11:23,20,15,79,1.65,0.46,3
17:15,19,17,24,0.08,2.46,7
15:56,19,24,76,0.35,0.84,0
18:16,20,17,30,1.09,0.42,1
17:15,18,15,57,1.64,0.39,2
11:34,19,17,64,1.36,0.05,3
20:03,20,17,90,1.11,2.82,4
14:30,16,17,87,0.4,0.23,5
16:05,21,17,51,0.84,1.37,5
12:49,19,16,36,1.45,0.64,6
15:14,18,17,29,0.37,0.95,7
14:19,20,24,75,0.79,2.21,0
18:44,20,16,30,1.92,1.66,1
17:02,19,17,82,1.43,0.99,2
11:57,19,17,71,1.31,2.04,3
21:39,19,15,56,1.08,2.9,4
17:46,17,17,54,0.86,1.68,5
17:52,18,15,81,0.58,2.82,4
18:23,17,17,56,0.05,0.29,5
13:03,28,16,65,0.66,2.63,5
14:29,20,16,32,0.37,1.89,6
20:04,18,16,25,0.77,1.52,7
16:49,18,25,57,0.39,2.83,0
17:56,20,16,37,1.74,2.79,1
18:35,20,16,48,1.45,0.38,2
11:30,19,17,78,1.36,1.4,3
17:42,19,17,89,1.27,2.93,4
13:47,16,17,59,1.7,2.33,5
11:57,15,17,46,0.1,0.87,5
07:29,28,16,68,1.48,1.29,5
19:08,18,16,39,1.13,2.89,6
15:48,19,16,32,0.21,2.44,7
07:37,19,26,89,0.95,1.26,0
17:13,20,15,35,1.76,0.47,1
17:48,19,17,47,0.25,0.32,2
11:08,18,15,86,1.26,1.7,3
14:56,19,17,42,0.91,2.18,4
14:44,15,17,88,1.06,0.25,5
19:35,20,15,21,0.63,1.58,7
18:10,20,17,87,1.64,0.37,2
11:19,18,17,44,0.64,1.96,3
14:59,18,17,88,1.35,2.22,4
15:05,24,16,48,1.21,0.61,5
15:36,19,25,78,0.35,2.32,0
18:18,20,16,37,1.92,0.15,1
13:56,20,16,33,0.39,2.41,6
21:30,14,15,65,1.03,0.82,5
15:13,22,16,62,0.67,2.24,5
10:37,22,15,63,1.8,1.68,5
19:48,19,17,35,0.02,2.14,6
14:49,25,15,59,0.28,0.82,5
19:21,18,15,34,0.81,0.02,6
14:32,19,17,35,0.76,2.97,7
10:04,20,22,52,0.65,2.72,0
18:04,20,16,37,1.82,2.12,1
17:32,19,15,47,1.8,0.2,2
19:44,18,16,34,0.05,2.91,6
20:29,18,16,28,0.81,1.08,7
16:46,18,23,61,0.46,0.11,0
17:41,19,17,39,1.07,2.8,1
18:22,18,17,63,0.34,0.06,2
09:10,21,16,50,0.92,0.67,5
20:07,20,16,30,0.38,1.41,6
18:18,19,17,29,0.19,0.86,7
13:13,20,22,50,0.9,2.02,0
18:25,19,15,31,1.64,1.67,1
17:17,19,16,74,1.34,0.22,2
11:38,20,16,65,1.64,0.35,3
11:22,19,17,48,0.09,2.2,4
09:13,17,16,85,0.21,0.17,5
11:02,20,16,87,0.03,1.37,3
09:35,19,16,56,0.68,2.08,4
11:24,18,15,65,1.32,1.42,3
16:49,20,17,58,1.82,2.28,4
18:33,16,16,44,1.16,2.75,5
17:53,18,17,33,1.8,2.62,1
18:28,19,15,51,0.88,0.81,2
11:30,18,16,59,1.5,2.41,3
09:18,18,17,84,1.25,2.56,4
09:29,15,15,85,0.22,1.95,5
09:33,22,17,88,0.25,0.66,5
19:39,18,16,35,0.11,2.83,6
19:49,19,17,29,0.05,2.04,7
12:47,18,22,85,0.22,1.85,0
17:49,18,17,34,1.75,0.74,1
17:39,19,17,64,1.78,0.15,2
11:10,19,17,67,0.18,2.82,3
17:21,19,15,55,1.28,0.55,2
11:58,19,15,81,0.39,0.79,3
09:38,18,17,64,0.2,2.79,4
16:12,15,15,64,1.28,0.14,5
13:30,18,16,48,1.28,2.11,4
12:12,17,16,45,1.52,0.7,5
17:14,28,17,44,1.24,2.3,5
11:28,19,15,36,0.97,2.64,6
19:32,19,15,21,0.74,1.72,7
07:01,18,24,54,0.06,1.22,0
17:38,19,16,35,1.81,2.31,1
16:01,21,15,77,1.4,0.8,5
18:28,20,16,32,0.46,1.65,6
19:55,20,16,29,0.36,0.25,7
17:15,18,16,85,0.18,0.47,2
11:43,19,15,45,1.6,2.41,3
19:29,18,16,82,1.32,2.6,4
15:06,15,16,80,0.41,1.1,5
20:13,26,16,45,0.94,0.7,5
21:16,19,15,35,1.82,0.75,6
18:38,26,17,83,0.94,2.79,5
15:48,20,23,97,0.53,2.02,0
17:12,19,16,34,1.15,0.36,1
07:34,20,17,33,1.3,2.46,6
19:05,19,16,30,0.48,1.66,7
07:53,19,21,73,0.9,0.5,0
16:12,20,15,30,0.23,0.79,7
07:38,20,22,99,0.42,0.39,0
